,texto,tokens,bigramas_spacy,bigramas_nltk,texto_lematizado,texto_preprocesado,polaridad
636,hoy tuvimos el honor de recibir a la dra,"['hoy', 'tuvimos', 'el', 'honor', 'de', 'recibir', 'a', 'la', 'dra']","[('hoy', 'tuvimos'), ('tuvimos', 'el'), ('el', 'honor'), ('honor', 'de'), ('de', 'recibir'), ('recibir', 'a'), ('a', 'la'), ('la', 'dra')]","[('hoy', 'tuvimos', 'el'), ('tuvimos', 'el', 'honor'), ('el', 'honor', 'de'), ('honor', 'de', 'recibir'), ('de', 'recibir', 'a'), ('recibir', 'a', 'la'), ('a', 'la', 'dra')]",hoy tener el honor de recibir a el dra,"['honor', 'recibir', 'dra']",0.05741469253390541
637,de negocios poco claros perdón por la repetición y,"['de', 'negocios', 'poco', 'claros', 'perdón', 'por', 'la', 'repetición', 'y']","[('de', 'negocios'), ('negocios', 'poco'), ('poco', 'claros'), ('claros', 'perdón'), ('perdón', 'por'), ('por', 'la'), ('la', 'repetición'), ('repetición', 'y')]","[('de', 'negocios', 'poco'), ('negocios', 'poco', 'claros'), ('poco', 'claros', 'perdón'), ('claros', 'perdón', 'por'), ('perdón', 'por', 'la'), ('por', 'la', 'repetición'), ('la', 'repetición', 'y')]",de negocio poco claro perdón por el repetición y,"['negocio', 'perdón', 'repetición']",0.4887476993926539
638,es otra rémora de 4a y si ahora estamos mal coneate estaremos peor,"['es', 'otra', 'rémora', 'de', '4a', 'y', 'si', 'ahora', 'estamos', 'mal', 'coneate', 'estaremos', 'peor']","[('es', 'otra'), ('otra', 'rémora'), ('rémora', 'de'), ('de', '4a'), ('4a', 'y'), ('y', 'si'), ('si', 'ahora'), ('ahora', 'estamos'), ('estamos', 'mal'), ('mal', 'coneate'), ('coneate', 'estaremos'), ('estaremos', 'peor')]","[('es', 'otra', 'rémora'), ('otra', 'rémora', 'de'), ('rémora', 'de', '4a'), ('de', '4a', 'y'), ('4a', 'y', 'si'), ('y', 'si', 'ahora'), ('si', 'ahora', 'estamos'), ('ahora', 'estamos', 'mal'), ('estamos', 'mal', 'coneate'), ('mal', 'coneate', 'estaremos'), ('coneate', 'estaremos', 'peor')]",ser otro rémora de 4a y si ahora estar mal coneate estar peor,"['rémora', 'coneate']",1.2564131116517072e-05
639,no te arrastres chapulín sabes que morena no ganará jamás en jalisco,"['no', 'te', 'arrastres', 'chapulín', 'sabes', 'que', 'morena', 'no', 'ganará', 'jamás', 'en', 'jalisco']","[('no', 'te'), ('te', 'arrastres'), ('arrastres', 'chapulín'), ('chapulín', 'sabes'), ('sabes', 'que'), ('que', 'morena'), ('morena', 'no'), ('no', 'ganará'), ('ganará', 'jamás'), ('jamás', 'en'), ('en', 'jalisco')]","[('no', 'te', 'arrastres'), ('te', 'arrastres', 'chapulín'), ('arrastres', 'chapulín', 'sabes'), ('chapulín', 'sabes', 'que'), ('sabes', 'que', 'morena'), ('que', 'morena', 'no'), ('morena', 'no', 'ganará'), ('no', 'ganará', 'jamás'), ('ganará', 'jamás', 'en'), ('jamás', 'en', 'jalisco')]",no tú arrastre chapulín saber que morena no ganar jamás en jalisco,"['arrastrar', 'chapulín', 'morén', 'ganar', 'jamás', 'jalisco']",0.0012943688884104075
640,par de lacras,"['par', 'de', 'lacras']","[('par', 'de'), ('de', 'lacras')]","[('par', 'de', 'lacras')]",par de lacra,"['par', 'lacra']",0.4156734508342319
641,52,['52'],[],[],52,[],0.49789225920557484
642,vamos para adelante doc sector agropecuario,"['vamos', 'para', 'adelante', 'doc', 'sector', 'agropecuario']","[('vamos', 'para'), ('para', 'adelante'), ('adelante', 'doc'), ('doc', 'sector'), ('sector', 'agropecuario')]","[('vamos', 'para', 'adelante'), ('para', 'adelante', 'doc'), ('adelante', 'doc', 'sector'), ('doc', 'sector', 'agropecuario')]",ir para adelante doc sector agropecuario,"['doc', 'sector', 'agropecuario']",0.2035266344806411
643,en jalisco no queremos esto,"['en', 'jalisco', 'no', 'queremos', 'esto']","[('en', 'jalisco'), ('jalisco', 'no'), ('no', 'queremos'), ('queremos', 'esto')]","[('en', 'jalisco', 'no'), ('jalisco', 'no', 'queremos'), ('no', 'queremos', 'esto')]",en jalisco no querer este,"['jalisco', 'querer']",0.01837800080416128
644,93 likes en 6 horas todo indica que no serás el elegido date cuenta,"['93', 'likes', 'en', '6', 'horas', 'todo', 'indica', 'que', 'no', 'serás', 'el', 'elegido', 'date', 'cuenta']","[('93', 'likes'), ('likes', 'en'), ('en', '6'), ('6', 'horas'), ('horas', 'todo'), ('todo', 'indica'), ('indica', 'que'), ('que', 'no'), ('no', 'serás'), ('serás', 'el'), ('el', 'elegido'), ('elegido', 'date'), ('date', 'cuenta')]","[('93', 'likes', 'en'), ('likes', 'en', '6'), ('en', '6', 'horas'), ('6', 'horas', 'todo'), ('horas', 'todo', 'indica'), ('todo', 'indica', 'que'), ('indica', 'que', 'no'), ('que', 'no', 'serás'), ('no', 'serás', 'el'), ('serás', 'el', 'elegido'), ('el', 'elegido', 'date'), ('elegido', 'date', 'cuenta')]",93 lik en 6 hora todo indicar que no serás el elegido date contar,"['lik', 'hora', 'indicar', 'serás', 'elegido', 'date', 'contar']",0.007656308944012745
645,jajajajajaja son unos neanderthales bienvenida a jalsico,"['jajajajajaja', 'son', 'unos', 'neanderthales', 'bienvenida', 'a', 'jalsico']","[('jajajajajaja', 'son'), ('son', 'unos'), ('unos', 'neanderthales'), ('neanderthales', 'bienvenida'), ('bienvenida', 'a'), ('a', 'jalsico')]","[('jajajajajaja', 'son', 'unos'), ('son', 'unos', 'neanderthales'), ('unos', 'neanderthales', 'bienvenida'), ('neanderthales', 'bienvenida', 'a'), ('bienvenida', 'a', 'jalsico')]",jajajajajaja ser uno neanderthal bienvenidar a jalsico,"['jajajajajajar', 'neanderthal', 'bienvenidar', 'jalsico']",0.7461111493200046
646,181,['181'],[],[],181,[],0.49789225920557484
647,jalsico,['jalsico'],[],[],jalsico,['jalsico'],0.49789225920557484
648,agradecido con todas sus muestras de cariño y sus palabras de aliento,"['agradecido', 'con', 'todas', 'sus', 'muestras', 'de', 'cariño', 'y', 'sus', 'palabras', 'de', 'aliento']","[('agradecido', 'con'), ('con', 'todas'), ('todas', 'sus'), ('sus', 'muestras'), ('muestras', 'de'), ('de', 'cariño'), ('cariño', 'y'), ('y', 'sus'), ('sus', 'palabras'), ('palabras', 'de'), ('de', 'aliento')]","[('agradecido', 'con', 'todas'), ('con', 'todas', 'sus'), ('todas', 'sus', 'muestras'), ('sus', 'muestras', 'de'), ('muestras', 'de', 'cariño'), ('de', 'cariño', 'y'), ('cariño', 'y', 'sus'), ('y', 'sus', 'palabras'), ('sus', 'palabras', 'de'), ('palabras', 'de', 'aliento')]",agradecido con todo su muestra de cariño y su palabra de aliento,"['agradecido', 'muestra', 'cariño', 'palabra', 'aliento']",0.5950622344498042
649,como les arde asta el asiento saber que el doc lomelí va aser nuestro próximo gobernador les guste o no ya lo verán,"['como', 'les', 'arde', 'asta', 'el', 'asiento', 'saber', 'que', 'el', 'doc', 'lomelí', 'va', 'aser', 'nuestro', 'próximo', 'gobernador', 'les', 'guste', 'o', 'no', 'ya', 'lo', 'verán']","[('como', 'les'), ('les', 'arde'), ('arde', 'asta'), ('asta', 'el'), ('el', 'asiento'), ('asiento', 'saber'), ('saber', 'que'), ('que', 'el'), ('el', 'doc'), ('doc', 'lomelí'), ('lomelí', 'va'), ('va', 'aser'), ('aser', 'nuestro'), ('nuestro', 'próximo'), ('próximo', 'gobernador'), ('gobernador', 'les'), ('les', 'guste'), ('guste', 'o'), ('o', 'no'), ('no', 'ya'), ('ya', 'lo'), ('lo', 'verán')]","[('como', 'les', 'arde'), ('les', 'arde', 'asta'), ('arde', 'asta', 'el'), ('asta', 'el', 'asiento'), ('el', 'asiento', 'saber'), ('asiento', 'saber', 'que'), ('saber', 'que', 'el'), ('que', 'el', 'doc'), ('el', 'doc', 'lomelí'), ('doc', 'lomelí', 'va'), ('lomelí', 'va', 'aser'), ('va', 'aser', 'nuestro'), ('aser', 'nuestro', 'próximo'), ('nuestro', 'próximo', 'gobernador'), ('próximo', 'gobernador', 'les'), ('gobernador', 'les', 'guste'), ('les', 'guste', 'o'), ('guste', 'o', 'no'), ('o', 'no', 'ya'), ('no', 'ya', 'lo'), ('ya', 'lo', 'verán')]",como él arder asta el asiento saber que el doc lomelí ir aser nuestro próximo gobernador él gustar o no ya él ver,"['arder', 'asta', 'asiento', 'doc', 'lomelí', 'aser', 'gobernador', 'gustar']",4.088608507339582e-05
650,adivinen quién falta en esta bella imagen adivinaron,"['adivinen', 'quién', 'falta', 'en', 'esta', 'bella', 'imagen', 'adivinaron']","[('adivinen', 'quién'), ('quién', 'falta'), ('falta', 'en'), ('en', 'esta'), ('esta', 'bella'), ('bella', 'imagen'), ('imagen', 'adivinaron')]","[('adivinen', 'quién', 'falta'), ('quién', 'falta', 'en'), ('falta', 'en', 'esta'), ('en', 'esta', 'bella'), ('esta', 'bella', 'imagen'), ('bella', 'imagen', 'adivinaron')]",adivinir quién faltar en este bello imagen adivinar,"['adivinir', 'faltar', 'bello', 'imagen', 'adivinar']",0.018185352217970657
651,22,['22'],[],[],22,[],0.49789225920557484
652,par de corruptos,"['par', 'de', 'corruptos']","[('par', 'de'), ('de', 'corruptos')]","[('par', 'de', 'corruptos')]",par de corrupto,"['par', 'corrupto']",0.4156734508342319
654,a érika pérez más que tú la conoces,"['a', 'érika', 'pérez', 'más', 'que', 'tú', 'la', 'conoces']","[('a', 'érika'), ('érika', 'pérez'), ('pérez', 'más'), ('más', 'que'), ('que', 'tú'), ('tú', 'la'), ('la', 'conoces')]","[('a', 'érika', 'pérez'), ('érika', 'pérez', 'más'), ('pérez', 'más', 'que'), ('más', 'que', 'tú'), ('que', 'tú', 'la'), ('tú', 'la', 'conoces')]",a ériko pérez más que tú el conoz,"['ériko', 'pérez', 'conoz']",0.17884986136783432
655,llegó,['llegó'],[],[],llegar,['llegar'],0.10674964285543637
656,ahórrense los comentarios cursis quieren ganar prometan que van a cancelar el negociazo que hizo el marrano con las verficadoras y que se va a regresa a las de antes ya estamos hartos de mc y sus multas e impuestos por todo con eso ganan por goleada,"['ahórrense', 'los', 'comentarios', 'cursis', 'quieren', 'ganar', 'prometan', 'que', 'van', 'a', 'cancelar', 'el', 'negociazo', 'que', 'hizo', 'el', 'marrano', 'con', 'las', 'verficadoras', 'y', 'que', 'se', 'va', 'a', 'regresa', 'a', 'las', 'de', 'antes', 'ya', 'estamos', 'hartos', 'de', 'mc', 'y', 'sus', 'multas', 'e', 'impuestos', 'por', 'todo', 'con', 'eso', 'ganan', 'por', 'goleada']","[('ahórrense', 'los'), ('los', 'comentarios'), ('comentarios', 'cursis'), ('cursis', 'quieren'), ('quieren', 'ganar'), ('ganar', 'prometan'), ('prometan', 'que'), ('que', 'van'), ('van', 'a'), ('a', 'cancelar'), ('cancelar', 'el'), ('el', 'negociazo'), ('negociazo', 'que'), ('que', 'hizo'), ('hizo', 'el'), ('el', 'marrano'), ('marrano', 'con'), ('con', 'las'), ('las', 'verficadoras'), ('verficadoras', 'y'), ('y', 'que'), ('que', 'se'), ('se', 'va'), ('va', 'a'), ('a', 'regresa'), ('regresa', 'a'), ('a', 'las'), ('las', 'de'), ('de', 'antes'), ('antes', 'ya'), ('ya', 'estamos'), ('estamos', 'hartos'), ('hartos', 'de'), ('de', 'mc'), ('mc', 'y'), ('y', 'sus'), ('sus', 'multas'), ('multas', 'e'), ('e', 'impuestos'), ('impuestos', 'por'), ('por', 'todo'), ('todo', 'con'), ('con', 'eso'), ('eso', 'ganan'), ('ganan', 'por'), ('por', 'goleada')]","[('ahórrense', 'los', 'comentarios'), ('los', 'comentarios', 'cursis'), ('comentarios', 'cursis', 'quieren'), ('cursis', 'quieren', 'ganar'), ('quieren', 'ganar', 'prometan'), ('ganar', 'prometan', 'que'), ('prometan', 'que', 'van'), ('que', 'van', 'a'), ('van', 'a', 'cancelar'), ('a', 'cancelar', 'el'), ('cancelar', 'el', 'negociazo'), ('el', 'negociazo', 'que'), ('negociazo', 'que', 'hizo'), ('que', 'hizo', 'el'), ('hizo', 'el', 'marrano'), ('el', 'marrano', 'con'), ('marrano', 'con', 'las'), ('con', 'las', 'verficadoras'), ('las', 'verficadoras', 'y'), ('verficadoras', 'y', 'que'), ('y', 'que', 'se'), ('que', 'se', 'va'), ('se', 'va', 'a'), ('va', 'a', 'regresa'), ('a', 'regresa', 'a'), ('regresa', 'a', 'las'), ('a', 'las', 'de'), ('las', 'de', 'antes'), ('de', 'antes', 'ya'), ('antes', 'ya', 'estamos'), ('ya', 'estamos', 'hartos'), ('estamos', 'hartos', 'de'), ('hartos', 'de', 'mc'), ('de', 'mc', 'y'), ('mc', 'y', 'sus'), ('y', 'sus', 'multas'), ('sus', 'multas', 'e'), ('multas', 'e', 'impuestos'), ('e', 'impuestos', 'por'), ('impuestos', 'por', 'todo'), ('por', 'todo', 'con'), ('todo', 'con', 'eso'), ('con', 'eso', 'ganan'), ('eso', 'ganan', 'por'), ('ganan', 'por', 'goleada')]",ahórrense el comentario cursi querer ganar prometar que ir a cancelar el negociazo que hacer el marrano con el verficadora y que él ir a regresar a el de antes ya estar harto de mc y su multa e impuesto por todo con ese ganar por goleada,"['ahórrense', 'comentario', 'cursi', 'querer', 'ganar', 'prometar', 'cancelar', 'negociazo', 'marrano', 'verficadora', 'regresar', 'harto', 'mc', 'multa', 'impuesto', 'ganar', 'goleada']",7.712793248459047e-08
657,aguas trae chinches,"['aguas', 'trae', 'chinches']","[('aguas', 'trae'), ('trae', 'chinches')]","[('aguas', 'trae', 'chinches')]",agua traer chinch,"['agua', 'traer', 'chinch']",0.49789225920557484
658,pues 12 años de campaña como no vas a recorrer el estado,"['pues', '12', 'años', 'de', 'campaña', 'como', 'no', 'vas', 'a', 'recorrer', 'el', 'estado']","[('pues', '12'), ('12', 'años'), ('años', 'de'), ('de', 'campaña'), ('campaña', 'como'), ('como', 'no'), ('no', 'vas'), ('vas', 'a'), ('a', 'recorrer'), ('recorrer', 'el'), ('el', 'estado')]","[('pues', '12', 'años'), ('12', 'años', 'de'), ('años', 'de', 'campaña'), ('de', 'campaña', 'como'), ('campaña', 'como', 'no'), ('como', 'no', 'vas'), ('no', 'vas', 'a'), ('vas', 'a', 'recorrer'), ('a', 'recorrer', 'el'), ('recorrer', 'el', 'estado')]",pues 12 año de campaña como no vas a recorrer el estado,"['año', 'campaña', 'vas', 'recorrer']",0.0014648594127593278
659,ten lo por seguro vas a volver a perder,"['ten', 'lo', 'por', 'seguro', 'vas', 'a', 'volver', 'a', 'perder']","[('ten', 'lo'), ('lo', 'por'), ('por', 'seguro'), ('seguro', 'vas'), ('vas', 'a'), ('a', 'volver'), ('volver', 'a'), ('a', 'perder')]","[('ten', 'lo', 'por'), ('lo', 'por', 'seguro'), ('por', 'seguro', 'vas'), ('seguro', 'vas', 'a'), ('vas', 'a', 'volver'), ('a', 'volver', 'a'), ('volver', 'a', 'perder')]",tar él por seguro vas a volver a perder,"['tar', 'seguro', 'vas', 'volver', 'perder']",0.06972886485557249
660,que vaya a chingar a si madre dile ahh de paso que te lleve a ti también,"['que', 'vaya', 'a', 'chingar', 'a', 'si', 'madre', 'dile', 'ahh', 'de', 'paso', 'que', 'te', 'lleve', 'a', 'ti', 'también']","[('que', 'vaya'), ('vaya', 'a'), ('a', 'chingar'), ('chingar', 'a'), ('a', 'si'), ('si', 'madre'), ('madre', 'dile'), ('dile', 'ahh'), ('ahh', 'de'), ('de', 'paso'), ('paso', 'que'), ('que', 'te'), ('te', 'lleve'), ('lleve', 'a'), ('a', 'ti'), ('ti', 'también')]","[('que', 'vaya', 'a'), ('vaya', 'a', 'chingar'), ('a', 'chingar', 'a'), ('chingar', 'a', 'si'), ('a', 'si', 'madre'), ('si', 'madre', 'dile'), ('madre', 'dile', 'ahh'), ('dile', 'ahh', 'de'), ('ahh', 'de', 'paso'), ('de', 'paso', 'que'), ('paso', 'que', 'te'), ('que', 'te', 'lleve'), ('te', 'lleve', 'a'), ('lleve', 'a', 'ti'), ('a', 'ti', 'también')]",que ir a chingar a si madre dile ahh de paso que tú llevar a tú también,"['chingar', 'madre', 'dile', 'ahh', 'paso']",0.006451802000385559
661,exacto los de,"['exacto', 'los', 'de']","[('exacto', 'los'), ('los', 'de')]","[('exacto', 'los', 'de')]",exacto el de,['exacto'],0.3448789537043245
662,ccp,['ccp'],[],[],ccp,['ccp'],0.49789225920557484
663,155,['155'],[],[],155,[],0.49789225920557484
664,no queremos a ese sujeto como eterno candidato a gobernador sangre nueva sin sospecha de negocios sospechosos de medicinas,"['no', 'queremos', 'a', 'ese', 'sujeto', 'como', 'eterno', 'candidato', 'a', 'gobernador', 'sangre', 'nueva', 'sin', 'sospecha', 'de', 'negocios', 'sospechosos', 'de', 'medicinas']","[('no', 'queremos'), ('queremos', 'a'), ('a', 'ese'), ('ese', 'sujeto'), ('sujeto', 'como'), ('como', 'eterno'), ('eterno', 'candidato'), ('candidato', 'a'), ('a', 'gobernador'), ('gobernador', 'sangre'), ('sangre', 'nueva'), ('nueva', 'sin'), ('sin', 'sospecha'), ('sospecha', 'de'), ('de', 'negocios'), ('negocios', 'sospechosos'), ('sospechosos', 'de'), ('de', 'medicinas')]","[('no', 'queremos', 'a'), ('queremos', 'a', 'ese'), ('a', 'ese', 'sujeto'), ('ese', 'sujeto', 'como'), ('sujeto', 'como', 'eterno'), ('como', 'eterno', 'candidato'), ('eterno', 'candidato', 'a'), ('candidato', 'a', 'gobernador'), ('a', 'gobernador', 'sangre'), ('gobernador', 'sangre', 'nueva'), ('sangre', 'nueva', 'sin'), ('nueva', 'sin', 'sospecha'), ('sin', 'sospecha', 'de'), ('sospecha', 'de', 'negocios'), ('de', 'negocios', 'sospechosos'), ('negocios', 'sospechosos', 'de'), ('sospechosos', 'de', 'medicinas')]",no querer a ese sujeto como eterno candidato a gobernador sangre nuevo sin sospecha de negocio sospechoso de medicina,"['querer', 'sujeto', 'eterno', 'candidato', 'gobernador', 'sangre', 'sospecha', 'negocio', 'sospechoso', 'medicina']",0.004781344615349439
665,no no vas a ser gobernador oootra vez saludos,"['no', 'no', 'vas', 'a', 'ser', 'gobernador', 'oootra', 'vez', 'saludos']","[('no', 'no'), ('no', 'vas'), ('vas', 'a'), ('a', 'ser'), ('ser', 'gobernador'), ('gobernador', 'oootra'), ('oootra', 'vez'), ('vez', 'saludos')]","[('no', 'no', 'vas'), ('no', 'vas', 'a'), ('vas', 'a', 'ser'), ('a', 'ser', 'gobernador'), ('ser', 'gobernador', 'oootra'), ('gobernador', 'oootra', 'vez'), ('oootra', 'vez', 'saludos')]",no no va a ser gobernador oootro vez saludo,"['gobernador', 'oootro', 'saludo']",0.02302110779818196
666,saludando a una amiga de verdad la primera mujer en ocupar la mas alta responsabilidad en méxico la dra,"['saludando', 'a', 'una', 'amiga', 'de', 'verdad', 'la', 'primera', 'mujer', 'en', 'ocupar', 'la', 'mas', 'alta', 'responsabilidad', 'en', 'méxico', 'la', 'dra']","[('saludando', 'a'), ('a', 'una'), ('una', 'amiga'), ('amiga', 'de'), ('de', 'verdad'), ('verdad', 'la'), ('la', 'primera'), ('primera', 'mujer'), ('mujer', 'en'), ('en', 'ocupar'), ('ocupar', 'la'), ('la', 'mas'), ('mas', 'alta'), ('alta', 'responsabilidad'), ('responsabilidad', 'en'), ('en', 'méxico'), ('méxico', 'la'), ('la', 'dra')]","[('saludando', 'a', 'una'), ('a', 'una', 'amiga'), ('una', 'amiga', 'de'), ('amiga', 'de', 'verdad'), ('de', 'verdad', 'la'), ('verdad', 'la', 'primera'), ('la', 'primera', 'mujer'), ('primera', 'mujer', 'en'), ('mujer', 'en', 'ocupar'), ('en', 'ocupar', 'la'), ('ocupar', 'la', 'mas'), ('la', 'mas', 'alta'), ('mas', 'alta', 'responsabilidad'), ('alta', 'responsabilidad', 'en'), ('responsabilidad', 'en', 'méxico'), ('en', 'méxico', 'la'), ('méxico', 'la', 'dra')]",saludar a uno amiga de verdad el primero mujer en ocupar el mas alto responsabilidad en méxico el dra,"['saludar', 'amiga', 'mujer', 'ocupar', 'alto', 'responsabilidad', 'méxico', 'dra']",0.0032215448052793963
667,si en verdad quiere ayudar a claudia debería dar un paso al costado y dejar que otro sea el candidato a gobernador los de mc aplauden que usted sea el candidato porque lo aplastarán nuevamente con lo de sus nexos con él narco su foto en la cárcel y sus ventas de medicinas,"['si', 'en', 'verdad', 'quiere', 'ayudar', 'a', 'claudia', 'debería', 'dar', 'un', 'paso', 'al', 'costado', 'y', 'dejar', 'que', 'otro', 'sea', 'el', 'candidato', 'a', 'gobernador', 'los', 'de', 'mc', 'aplauden', 'que', 'usted', 'sea', 'el', 'candidato', 'porque', 'lo', 'aplastarán', 'nuevamente', 'con', 'lo', 'de', 'sus', 'nexos', 'con', 'él', 'narco', 'su', 'foto', 'en', 'la', 'cárcel', 'y', 'sus', 'ventas', 'de', 'medicinas']","[('si', 'en'), ('en', 'verdad'), ('verdad', 'quiere'), ('quiere', 'ayudar'), ('ayudar', 'a'), ('a', 'claudia'), ('claudia', 'debería'), ('debería', 'dar'), ('dar', 'un'), ('un', 'paso'), ('paso', 'al'), ('al', 'costado'), ('costado', 'y'), ('y', 'dejar'), ('dejar', 'que'), ('que', 'otro'), ('otro', 'sea'), ('sea', 'el'), ('el', 'candidato'), ('candidato', 'a'), ('a', 'gobernador'), ('gobernador', 'los'), ('los', 'de'), ('de', 'mc'), ('mc', 'aplauden'), ('aplauden', 'que'), ('que', 'usted'), ('usted', 'sea'), ('sea', 'el'), ('el', 'candidato'), ('candidato', 'porque'), ('porque', 'lo'), ('lo', 'aplastarán'), ('aplastarán', 'nuevamente'), ('nuevamente', 'con'), ('con', 'lo'), ('lo', 'de'), ('de', 'sus'), ('sus', 'nexos'), ('nexos', 'con'), ('con', 'él'), ('él', 'narco'), ('narco', 'su'), ('su', 'foto'), ('foto', 'en'), ('en', 'la'), ('la', 'cárcel'), ('cárcel', 'y'), ('y', 'sus'), ('sus', 'ventas'), ('ventas', 'de'), ('de', 'medicinas')]","[('si', 'en', 'verdad'), ('en', 'verdad', 'quiere'), ('verdad', 'quiere', 'ayudar'), ('quiere', 'ayudar', 'a'), ('ayudar', 'a', 'claudia'), ('a', 'claudia', 'debería'), ('claudia', 'debería', 'dar'), ('debería', 'dar', 'un'), ('dar', 'un', 'paso'), ('un', 'paso', 'al'), ('paso', 'al', 'costado'), ('al', 'costado', 'y'), ('costado', 'y', 'dejar'), ('y', 'dejar', 'que'), ('dejar', 'que', 'otro'), ('que', 'otro', 'sea'), ('otro', 'sea', 'el'), ('sea', 'el', 'candidato'), ('el', 'candidato', 'a'), ('candidato', 'a', 'gobernador'), ('a', 'gobernador', 'los'), ('gobernador', 'los', 'de'), ('los', 'de', 'mc'), ('de', 'mc', 'aplauden'), ('mc', 'aplauden', 'que'), ('aplauden', 'que', 'usted'), ('que', 'usted', 'sea'), ('usted', 'sea', 'el'), ('sea', 'el', 'candidato'), ('el', 'candidato', 'porque'), ('candidato', 'porque', 'lo'), ('porque', 'lo', 'aplastarán'), ('lo', 'aplastarán', 'nuevamente'), ('aplastarán', 'nuevamente', 'con'), ('nuevamente', 'con', 'lo'), ('con', 'lo', 'de'), ('lo', 'de', 'sus'), ('de', 'sus', 'nexos'), ('sus', 'nexos', 'con'), ('nexos', 'con', 'él'), ('con', 'él', 'narco'), ('él', 'narco', 'su'), ('narco', 'su', 'foto'), ('su', 'foto', 'en'), ('foto', 'en', 'la'), ('en', 'la', 'cárcel'), ('la', 'cárcel', 'y'), ('cárcel', 'y', 'sus'), ('y', 'sus', 'ventas'), ('sus', 'ventas', 'de'), ('ventas', 'de', 'medicinas')]",si en verdad querer ayudar a claudia deber dar uno paso al costado y dejar que otro ser el candidato a gobernador el de mc aplaudir que usted ser el candidato porque él aplastar nuevamente con él de su nexo con él narco su foto en el cárcel y su venta de medicina,"['querer', 'ayudar', 'claudia', 'deber', 'paso', 'costado', 'dejar', 'candidato', 'gobernador', 'mc', 'aplaudir', 'candidato', 'aplastar', 'nuevamente', 'nexo', 'narco', 'foto', 'cárcel', 'venta', 'medicina']",1.7734920578401256e-08
